date,value
2015-08-15 00:00:00+00:00,5995.827308371537
2015-08-16 00:00:00+00:00,5912.254706973713
2015-08-17 00:00:00+00:00,5838.8189440203705
2015-08-18 00:00:00+00:00,5796.244222553556
2015-08-19 00:00:00+00:00,5000.615036200163
2015-08-20 00:00:00+00:00,5121.130782151201
2015-08-21 00:00:00+00:00,5306.297031070366
2015-08-22 00:00:00+00:00,5245.250737326942
2015-08-23 00:00:00+00:00,5206.956014314463
2015-08-24 00:00:00+00:00,5163.254977464928
2015-08-25 00:00:00+00:00,4756.655124303015
2015-08-26 00:00:00+00:00,5039.810811518818
2015-08-27 00:00:00+00:00,5109.191839094368
2015-08-28 00:00:00+00:00,5086.440268363425
2015-08-29 00:00:00+00:00,5215.966537376224
2015-08-30 00:00:00+00:00,5194.791808181088
2015-08-31 00:00:00+00:00,5167.309712842719
2015-09-01 00:00:00+00:00,5197.945491252703
2015-09-02 00:00:00+00:00,5140.953932887072
2015-09-03 00:00:00+00:00,5179.2486558995515
2015-09-04 00:00:00+00:00,5119.1034144623045
2015-09-05 00:00:00+00:00,5212.362328151518
2015-09-06 00:00:00+00:00,5316.433869514845
2015-09-07 00:00:00+00:00,5435.372773930074
2015-09-08 00:00:00+00:00,5435.823300083162
2015-09-09 00:00:00+00:00,5499.572750745113
2015-09-10 00:00:00+00:00,5378.1559524879
2015-09-11 00:00:00+00:00,5372.974901727388
2015-09-12 00:00:00+00:00,5426.58751394486
2015-09-13 00:00:00+00:00,5327.4717602655
2015-09-14 00:00:00+00:00,5199.5223327885105
2015-09-15 00:00:00+00:00,5203.802331242847
2015-09-16 00:00:00+00:00,5194.5665451045425
2015-09-17 00:00:00+00:00,5174.968657445215
2015-09-18 00:00:00+00:00,5256.288628077598
2015-09-19 00:00:00+00:00,5266.2002034455345
2015-09-20 00:00:00+00:00,5245.926526556574
2015-09-21 00:00:00+00:00,5231.509689657759
2015-09-22 00:00:00+00:00,5120.454992921568
2015-09-23 00:00:00+00:00,5209.884434309535
2015-09-24 00:00:00+00:00,5186.907600502047
2015-09-25 00:00:00+00:00,5299.76440185059
2015-09-26 00:00:00+00:00,5313.730712596317
2015-09-27 00:00:00+00:00,5286.699143411038
2015-09-28 00:00:00+00:00,5261.694941914654
2015-09-29 00:00:00+00:00,5406.088573979355
2015-09-30 00:00:00+00:00,5336.257020250716
2015-10-01 00:00:00+00:00,5341.888597164316
2015-10-02 00:00:00+00:00,5368.920166349596
2015-10-03 00:00:00+00:00,5367.568587890331
2015-10-04 00:00:00+00:00,5404.511732443547
2015-10-05 00:00:00+00:00,5403.385417060827
2015-10-06 00:00:00+00:00,5427.713829327578
2015-10-07 00:00:00+00:00,5555.888519881111
2015-10-08 00:00:00+00:00,5496.419067673497
2015-10-09 00:00:00+00:00,5472.541181559834
2015-10-10 00:00:00+00:00,5504.303275352538
2015-10-11 00:00:00+00:00,5543.0485245181035
2015-10-12 00:00:00+00:00,5609.501132098583
2015-10-13 00:00:00+00:00,5550.256942967512
2015-10-14 00:00:00+00:00,5653.877958177751
2015-10-15 00:00:00+00:00,5705.237939629782
2015-10-16 00:00:00+00:00,5743.983188795349
2015-10-17 00:00:00+00:00,5934.105225398481
2015-10-18 00:00:00+00:00,6146.7535696560135
2015-10-19 00:00:00+00:00,5969.471528415888
2015-10-20 00:00:00+00:00,5973.301000717137
2015-10-21 00:00:00+00:00,6107.7830574139025
2015-10-22 00:00:00+00:00,6054.395708272974
2015-10-23 00:00:00+00:00,6213.656703389579
2015-10-24 00:00:00+00:00,6279.433521740426
2015-10-25 00:00:00+00:00,6404.004003069256
2015-10-26 00:00:00+00:00,6419.321892274249
2015-10-27 00:00:00+00:00,6467.30292757812
2015-10-28 00:00:00+00:00,6659.00180571706
2015-10-29 00:00:00+00:00,6850.024894626367
2015-10-30 00:00:00+00:00,7120.115323402619
2015-10-31 00:00:00+00:00,7413.633112139446
2015-11-01 00:00:00+00:00,7092.4079649877085
2015-11-02 00:00:00+00:00,7421.517319818485
2015-11-03 00:00:00+00:00,8226.83281846327
2015-11-04 00:00:00+00:00,9102.880923142871
2015-11-05 00:00:00+00:00,9235.786138303827
2015-11-06 00:00:00+00:00,8722.41158686006
2015-11-07 00:00:00+00:00,8431.822218118306
2015-11-08 00:00:00+00:00,8668.348448489503
2015-11-09 00:00:00+00:00,8421.009590444195
2015-11-10 00:00:00+00:00,8549.409544074273
2015-11-11 00:00:00+00:00,7594.519362604274
2015-11-12 00:00:00+00:00,7055.239557357949
2015-11-13 00:00:00+00:00,7579.877262628915
2015-11-14 00:00:00+00:00,7615.468828722866
2015-11-15 00:00:00+00:00,7539.780435004083
2015-11-16 00:00:00+00:00,7274.420530835257
